Coffee Bar Montgomery,4.5(113) · $,Coffee shop · 101 Montgomery St,Locally roasted coffee & cafe fare,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Coffee Bar-Kearny,5.0(19),Coffee shop · 433 Kearny St,Casual cafe with carefully sourced beans,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Coffee Bodega Farm-to-Table,4.7(212),Coffee shop · 1 California St,Open ⋅ Closes 5 PM,
Coffee Cultures,5.0(12),Coffee shop · 655 Montgomery St,Closed ⋅ Opens 7 AM Fri,
Coffee To The People,4.3(516) · $,Coffee shop · 1206 Masonic Ave,Indie coffee shop,Open ⋅ Closes 6 PM
CoffeeShop,4.8(139),Coffee shop · 2761 21st St,"Espresso, tea, pastries & sidewalk seats",Open ⋅ Closes 5 PM
CoffeeShop,4.7(232) · $,Coffee shop · 3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
CoffeeSmith,4.8(39),Coffee shop · 401 Golden Gate Ave,Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri,
Coit Tower Cafe,3.7(9),Coffee shop · Coit Tower,Open ⋅ Closes 6 PM,
Compton’s Coffee House,4.8(163),Coffee shop · 1910 Fillmore St,Open ⋅ Closes 5 PM,
Cozy Cafe,4.7(126) · $,Cafe · 965 Sutter St C,Closed ⋅ Opens 7 AM Fri,
Cumaica: Artesanos del Cafe,4.4(278) · $,Coffee shop · 1398 Mission St,Caffeine cafe with creative drinks,Closes soon ⋅ 2 PM ⋅ Opens 5:30 AM Fri
Cup A Joe Coffeehouse,4.3(349) · $,Coffee shop · 896 Sutter St,Laid-back neighborhood coffee shop,Open ⋅ Closes 7 PM
Daily Habit,4.9(13),Coffee shop · 1 Maritime Plz,Closed ⋅ Opens 6 AM Fri,
Darren's Café,4.5(687) · $$,Cafe · 2731 Taylor St,Asian/American breakfast & lunch eats,Closed ⋅ Opens 8 AM Fri
Dolores Park Cafe,4.2(746) · $$,Cafe · 501 Dolores St,Organic eats & sunny parkside hangout,Open ⋅ Closes 5 PM
Duboce Park Cafe,4.3(869) · $$,Coffee shop · 2 Sanchez St,Coffee shop with organic eats,Open ⋅ Closes 5 PM
Duboce Park Cafe,4.3(869) · $$,Cafe · 2 Sanchez St,Coffee shop with organic eats,Open ⋅ Closes 5 PM
El Cafetazo,4.0(121) · $,Coffee shop · 3087 16th St,Coffee shop & juice bar,Open ⋅ Closes 3 PM
Enter The Cafe,4.4(104) · $,Cafe · 1401 Powell St,Bright corner coffee shop with ice cream,Open ⋅ Closes 7 PM
Equator Coffees,3.8(308),Coffee shop · Golden Gate Brg,"Hip spot for coffee, tea & light eats",Open ⋅ Closes 6 PM
Farley's Coffeehouse,4.6(564) · $,Coffee shop · 1315 18th St,Contemporary cafe for baked fare & lunch,Open ⋅ Closes 6 PM
Fillmore Street Cafe,4.2(151) · $,Coffee shop · 1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM
Fillmore Street Cafe,4.2(151) · $,Cafe · 1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM
First Cup Café,4.4(51),Coffee shop · 2911 Van Ness Ave,Open ⋅ Closes 4 PM,
Flywheel Coffee Roasters,4.5(956),Coffee shop · 672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM
Foghorn Coffee,3.8(30),Coffee shop · 900 North Point St Suite E204B,Open ⋅ Closes 7 PM,
Four Barrel Coffee,"4.5(2,384) · $$",Coffee shop · 375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM
