id,name,rating,address,description,openclose
64,Church Street Cafe,4.3(220) · $,260 Church St,Coffee & WiFi in an exposed-brick space,Open ⋅ Closes 5 PM
65,Coffee Bar Montgomery,4.5(113) · $,101 Montgomery St,Locally roasted coffee & cafe fare,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
66,Coffee Bar-Kearny,5.0(19),433 Kearny St,Casual cafe with carefully sourced beans,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
67,Coffee Bodega Farm-to-Table,4.7(212),1 California St,Open ⋅ Closes 5 PM,
68,Coffee Cultures,5.0(12),655 Montgomery St,Closed ⋅ Opens 7 AM Fri,
69,Coffee To The People,4.3(516) · $,1206 Masonic Ave,Indie coffee shop,Open ⋅ Closes 6 PM
70,CoffeeShop,4.8(139),2761 21st St,"Espresso, tea, pastries & sidewalk seats",Open ⋅ Closes 5 PM
71,CoffeeShop,4.7(232) · $,3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
72,CoffeeSmith,4.8(39),401 Golden Gate Ave,Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri,
73,Coit Tower Cafe,3.7(9),Coit Tower,Open ⋅ Closes 6 PM,
74,Compton’s Coffee House,4.8(163),1910 Fillmore St,Open ⋅ Closes 5 PM,
75,Cozy Cafe,4.7(126) · $,965 Sutter St C,Closed ⋅ Opens 7 AM Fri,
76,Cumaica: Artesanos del Cafe,4.4(278) · $,1398 Mission St,Caffeine cafe with creative drinks,Closes soon ⋅ 2 PM ⋅ Opens 5:30 AM Fri
77,Cup A Joe Coffeehouse,4.3(349) · $,896 Sutter St,Laid-back neighborhood coffee shop,Open ⋅ Closes 7 PM
78,Daily Habit,4.9(13),1 Maritime Plz,Closed ⋅ Opens 6 AM Fri,
79,Darren's Café,4.5(687) · $$,2731 Taylor St,Asian/American breakfast & lunch eats,Closed ⋅ Opens 8 AM Fri
80,Dolores Park Cafe,4.2(746) · $$,501 Dolores St,Organic eats & sunny parkside hangout,Open ⋅ Closes 5 PM
81,Duboce Park Cafe,4.3(869) · $$,2 Sanchez St,Coffee shop with organic eats,Open ⋅ Closes 5 PM
82,El Cafetazo,4.0(121) · $,3087 16th St,Coffee shop & juice bar,Open ⋅ Closes 3 PM
83,Enter The Cafe,4.4(104) · $,1401 Powell St,Bright corner coffee shop with ice cream,Open ⋅ Closes 7 PM
84,Equator Coffees,3.8(308),Golden Gate Brg,"Hip spot for coffee, tea & light eats",Open ⋅ Closes 6 PM
85,Farley's Coffeehouse,4.6(564) · $,1315 18th St,Contemporary cafe for baked fare & lunch,Open ⋅ Closes 6 PM
86,Fillmore Street Cafe,4.2(151) · $,1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM
87,First Cup Café,4.4(51),2911 Van Ness Ave,Open ⋅ Closes 4 PM,
88,Flywheel Coffee Roasters,4.5(956),672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM
89,Foghorn Coffee,3.8(30),900 North Point St Suite E204B,Open ⋅ Closes 7 PM,
90,Four Barrel Coffee,"4.5(2,384) · $$",375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM
91,Fresh Brew Coffee,4.8(494) · $,882 Bush St,"Cozy, American-Vietnamese sandwich spot",Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
92,FRONT EXHIBITS & CAFE,4.7(30),498 Alabama St,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
93,Fueling Station Cafe,4.6(213) · $,2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM
94,Goody Cafe,4.4(76),Landmark Building C 2 Marina Blvd,Open ⋅ Closes 5 PM,
95,Graffeo Coffee Roasting Co.,4.7(69),735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM
96,Grand Coffee,4.7(157) · $,2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
97,Hedge Coffee,4.8(76),434 Shotwell St,,
98,Henry's House of Coffee,4.6(406) · $,1618 Noriega St,Area stalwart with hand-roasted beans,Open ⋅ Closes 5 PM
99,Hermanos Coffee + Juice,4.7(26),650 California St,Temporarily closed,
100,Hideaway Cafe,4.7(182),Laundry · 850 Jones St,Closed ⋅ Opens 8 AM Fri,
101,Higher Grounds Coffee House,4.6(273) · $$,691 Chenery St,Chill cafe with a neighborhood vibe,Open ⋅ Closes 3 PM
102,HITW Coffee,4.7(196) · $,524 Union St,Closed ⋅ Opens 9 AM Sat,
103,Hollywood Cafe,"4.5(2,139) · $$",530 North Point St,Cinema-themed cafe,Closed ⋅ Opens 8 AM Fri
104,Home Coffee Roasters,4.7(338) · $,455 Grant Ave,Open ⋅ Closes 4 PM,
105,Honey Honey Cafe & Crepery,"4.3(3,370) · $$",599 Post St,Sweet & savory crêpe specialist,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
106,Hyatt Coffee Bar,3.7(32),345 Stockton St,Modern hotel lobby cafe with free Wi-Fi,Closed ⋅ Opens 6:30 AM Fri
107,Hyatt Regency Cafe,5.0(4),Hyatt Regency San Francisco 5 Embarcadero Ctr,,
108,Il Canto Cafe,4.7(280) · $,475 Sacramento St,Mellow option with coffee & light fare,Open ⋅ Closes 4 PM
109,Iron Horse Coffee Shop,4.4(107) · $,25 Maiden Ln,"Snug, modern coffee shop",Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri
110,Jackson Place Café,4.6(73) · $,633 Battery St,Breakfast & lunch kiosk with a courtyard,Closes soon ⋅ 2:30 PM ⋅ Opens 8:30 AM Tue
111,Jane on Larkin,4.4(632) · $$,925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
112,Javalencia,4.3(73),1594 Market St,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
